target,model_variant,branch,ID,Atoms,Charge,split,seed,split_method,source_sha256
Fermi_E,main_and_supplementary,Q_+1,2488,20,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2489,24,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2490,26,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2491,28,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2494,30,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2495,30,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2496,32,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2497,32,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2501,32,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2504,34,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2506,34,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2507,34,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2508,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2511,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2512,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2513,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2515,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2516,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2517,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2518,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2519,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2520,36,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2523,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2525,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2526,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2527,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2528,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2530,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2533,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2534,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2536,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2537,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2538,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2539,38,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2540,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2542,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2543,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2544,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2545,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2546,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2547,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2548,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2549,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2550,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2551,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2553,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2554,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2557,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2558,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2559,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2561,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2562,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2563,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2564,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2565,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2567,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2568,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2570,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2571,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2572,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2573,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2576,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2578,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2579,40,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2583,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2585,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2586,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2587,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2588,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2589,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2590,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2591,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2592,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2593,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2594,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2596,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2598,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2600,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2601,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2603,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2604,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2605,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
Fermi_E,main_and_supplementary,Q_+1,2606,42,1,train,42,within_Cn_target_quantile_isomer_80_20_seed42,f0414567229604469a4c834cc0887f9210b9c2858c4ae7f76c68b09087064f9d
