model_branch,evaluation_scope,N_test,R2,RMSE,MAE,mean_error,median_absolute_error,maximum_absolute_error,reported_R2,reported_RMSE
distortion_main_small,saved held-out test,21,0.9674996223838992,1.0323393481011083,0.8395817148185172,-0.43580174615358014,0.6087544106330753,1.7543413034709836,0.969,1.012
distortion_supp_small,saved held-out test,21,0.9635822090566103,1.0927858848849539,0.7962754295137427,-0.431639388402528,0.43392419345129696,2.5551676777110686,0.9522,1.0186
distortion_main_intermediate,saved held-out test,732,0.9356311735495277,1.2840830352408936,0.9797573732607621,-0.05413502424729858,0.7549677875954472,5.63696039475996,0.936,1.284
distortion_supp_intermediate,saved held-out test,732,0.9512527709905881,1.1174556082685154,0.8729894112367007,-0.06093931035513441,0.6812486379924856,4.8480927692164215,0.9489,1.1332
distortion_main_large,saved held-out test,740,0.9604799093592378,1.3877643813798282,0.9078085343201447,0.17439242369823446,0.7097956028627905,13.200201309551765,0.961,1.38
distortion_supp_large,saved held-out test,740,0.9798741020502957,0.990340189502114,0.5577253430671592,0.0641159486934915,0.4322940948059504,12.857670328521035,0.9857,0.8554
fermi_main_Qplus1,saved held-out test,511,0.8899197740585256,0.15263172145131906,0.12002388322209288,-0.006870138814639448,0.09752794841827139,0.4799781647784034,0.89,0.1558
fermi_supp_Qplus1,saved held-out test,511,0.9014996143887269,0.1443806895452617,0.11410574004405633,-0.0015428576265169003,0.09668458640230781,0.46819754603379593,0.9015,0.144
fermi_main_Qminus1,saved held-out test,512,0.9118223059214395,0.17090709744600757,0.13438344933626178,0.01758740640511367,0.1094772292018556,0.9203097361534646,0.91,0.1773
fermi_supp_Qminus1,saved held-out test,512,0.9250599673616662,0.15755698759329484,0.12196959935706526,0.010589341019283917,0.10106392165070316,0.8039013059978343,0.926,0.1567
