target,ID,Atoms,Charge,branch,selection_quantile,reference,main_prediction,supplementary_prediction,main_absolute_error,supplementary_absolute_error
Distortion_E,32,36,-1,small,1/3,32.6094,32.2971485954562,32.46401153500848,0.31225140454380096,0.14538846499151958
Distortion_E,4985,32,0,small,2/3,34.6864,34.368885281290645,34.49817147523219,0.3175147187093543,0.18822852476780838
Distortion_E,360,48,-1,intermediate,1/3,38.0871,37.354694700871924,37.199106640543704,0.7324052991280752,0.8879933594562957
Distortion_E,5806,52,0,intermediate,2/3,43.7022,44.79403486583144,45.27855922518894,1.0918348658314443,1.576359225188945
Distortion_E,2283,100,-1,large,1/3,42.066,42.51860454057361,41.73419472167734,0.4526045405736099,0.33180527832266193
Distortion_E,7033,100,0,large,2/3,47.1906,45.43818811263798,46.206872582908545,1.7524118873620225,0.9837274170914583
Fermi_E,1665,96,-1,Q_-1,25%,-1.8377,-1.7872778817240658,-1.822791353955747,0.050422118275934125,0.014908646044252905
Fermi_E,955,52,-1,Q_-1,50%,-1.1001,-0.9019894537716096,-0.8788742742367432,0.19811054622839053,0.22122572576325683
Fermi_E,401,48,-1,Q_-1,75%,-0.7869,-0.7680236806869316,-0.7745082920024089,0.018876319313068435,0.01239170799759115
Fermi_E,2916,48,1,Q_+1,25%,-8.877,-8.881560678147663,-8.884489224052587,0.004560678147662145,0.007489224052585897
Fermi_E,3700,52,1,Q_+1,50%,-8.4829,-8.772892434523738,-8.75419572690035,0.2899924345237377,0.27129572690035
Fermi_E,4169,96,1,Q_+1,75%,-8.0769,-8.09694246962491,-8.089272426379438,0.020042469624909742,0.012372426379437584
